# key	zh-CN	en
language.name	简体中文	English
title.game	云海邮差	SKY COURIER
title.subtitle	三航道空战卡牌肉鸽	THREE-LANE AERIAL DECKBUILDING ROGUELITE
title.pitch	运送不可能送达的包裹，穿越风暴云海。\n观察敌人意图，灵活切换航道。\n压榨老旧引擎——但别让它烧起来。	Carry impossible cargo across a stormbound sky.\nRead enemy intents and switch lanes with purpose.\nPush the old engine hard—but do not burn it out.
title.continue	继续配送	CONTINUE DELIVERY
title.new	新配送	NEW DELIVERY
title.start	开始配送	START DELIVERY
title.archive	邮政档案	POSTAL ARCHIVE
title.settings	系统设置	SETTINGS
title.version	v0.44.0  //  FINALE DEPTH COMPLETE	v0.44.0  //  FINALE DEPTH COMPLETE
settings.title	系统设置	SETTINGS
settings.section	ACCESS // DISPLAY	ACCESS // DISPLAY
settings.language	语言	LANGUAGE
settings.display	显示模式	DISPLAY MODE
settings.resolution	分辨率	RESOLUTION
settings.vsync	垂直同步	VSYNC
settings.framerate	帧率上限	FRAME-RATE LIMIT
settings.music	音乐音量	MUSIC VOLUME
settings.sfx	音效音量	SFX VOLUME
settings.shake	震屏强度	SCREEN SHAKE
settings.flash	闪光强度	FLASH INTENSITY
settings.on	开启	ON
settings.off	关闭	OFF
settings.monitor	由显示器同步	DISPLAY SYNC
settings.back_pause	返回暂停菜单	BACK TO PAUSE
settings.save_back	保存并返回	SAVE AND BACK
display.windowed	窗口	WINDOWED
display.borderless	无边框全屏	BORDERLESS
display.exclusive	独占全屏	EXCLUSIVE FULLSCREEN
pause.title	系统暂停	SYSTEM PAUSED
pause.resume	继续配送	RESUME DELIVERY
pause.settings	系统设置	SETTINGS
pause.guide	操作指南	HOW TO PLAY
pause.restart	重新开始本次配送	RESTART DELIVERY
pause.title_button	返回标题	RETURN TO TITLE
archive.title	群岛邮政档案	ARCHIPELAGO POSTAL ARCHIVE
archive.career	邮差履历	COURIER CAREER
archive.collection	发现图鉴	DISCOVERY INDEX
archive.recent	最近记录	RECENT RUNS
archive.started	出发 {0}	RUNS {0}
archive.delivered	送达 {0}	DELIVERED {0}
archive.lost	失事 {0}	LOST {0}
archive.battles	战斗胜利 {0}	BATTLES WON {0}
archive.best_cargo	最佳货物 {0}	BEST CARGO {0}
archive.best_credits	最高邮票 {0}	BEST STAMPS {0}
archive.total_turns	累计回合 {0}	TOTAL TURNS {0}
archive.total_cards	累计出牌 {0}	CARDS PLAYED {0}
archive.contracts	合同	CONTRACTS
archive.cards	卡牌	CARDS
archive.modules	模块	MODULES
archive.enemies	敌机	HOSTILES
archive.known_contracts	已登记合同	LOGGED CONTRACTS
archive.recent_cards	最近发现卡牌	RECENT CARD DISCOVERIES
archive.known_enemies	已发现敌机	IDENTIFIED HOSTILES
